,event_time,new
0,2019-12-17 00:00:44,2019-12-17 00:00:44
1,2019-12-17 00:01:07,2019-12-17 00:01:07
2,2019-12-17 00:01:13,2019-12-17 00:01:13
3,2019-12-17 00:01:14,2019-12-17 00:01:14
4,2019-12-17 00:01:14,2019-12-17 00:01:15
5,2019-12-17 00:01:26,2019-12-17 00:01:26
6,2019-12-17 00:01:28,2019-12-17 00:01:28
7,2019-12-17 00:01:28,2019-12-17 00:01:29
8,2019-12-17 00:01:31,2019-12-17 00:01:31
9,2019-12-17 00:01:32,2019-12-17 00:01:32
10,2019-12-17 00:01:34,2019-12-17 00:01:34
11,2019-12-17 00:01:59,2019-12-17 00:01:59
12,2019-12-17 00:02:09,2019-12-17 00:02:09
13,2019-12-17 00:02:17,2019-12-17 00:02:17
14,2019-12-17 00:02:36,2019-12-17 00:02:36
15,2019-12-17 00:02:38,2019-12-17 00:02:38
16,2019-12-17 00:02:40,2019-12-17 00:02:40
17,2019-12-17 00:02:41,2019-12-17 00:02:41
18,2019-12-17 00:02:41,2019-12-17 00:02:42
19,2019-12-17 00:02:51,2019-12-17 00:02:51
20,2019-12-17 00:02:54,2019-12-17 00:02:54
21,2019-12-17 00:02:55,2019-12-17 00:02:55
22,2019-12-17 00:02:57,2019-12-17 00:02:57
23,2019-12-17 00:03:02,2019-12-17 00:03:02
24,2019-12-17 00:03:07,2019-12-17 00:03:07
25,2019-12-17 00:03:11,2019-12-17 00:03:11
26,2019-12-17 00:03:13,2019-12-17 00:03:13
27,2019-12-17 00:03:24,2019-12-17 00:03:24
28,2019-12-17 00:03:24,2019-12-17 00:03:25
29,2019-12-17 00:03:32,2019-12-17 00:03:32
30,2019-12-17 00:03:37,2019-12-17 00:03:37
31,2019-12-17 00:03:38,2019-12-17 00:03:38
32,2019-12-17 00:03:50,2019-12-17 00:03:50
33,2019-12-17 00:03:51,2019-12-17 00:03:51
34,2019-12-17 00:03:53,2019-12-17 00:03:53
35,2019-12-17 00:04:06,2019-12-17 00:04:06
36,2019-12-17 00:04:12,2019-12-17 00:04:12
37,2019-12-17 00:04:14,2019-12-17 00:04:14
38,2019-12-17 00:04:23,2019-12-17 00:04:23
39,2019-12-17 00:04:41,2019-12-17 00:04:41
40,2019-12-17 00:04:50,2019-12-17 00:04:50
41,2019-12-17 00:05:00,2019-12-17 00:05:00
42,2019-12-17 00:05:00,2019-12-17 00:05:01
43,2019-12-17 00:05:00,2019-12-17 00:05:02
44,2019-12-17 00:05:00,2019-12-17 00:05:03
45,2019-12-17 00:05:00,2019-12-17 00:05:04
46,2019-12-17 00:05:00,2019-12-17 00:05:05
47,2019-12-17 00:05:00,2019-12-17 00:05:06
48,2019-12-17 00:05:00,2019-12-17 00:05:07
49,2019-12-17 00:05:00,2019-12-17 00:05:08
50,2019-12-17 00:05:00,2019-12-17 00:05:09
51,2019-12-17 00:05:00,2019-12-17 00:05:10
52,2019-12-17 00:05:00,2019-12-17 00:05:11
53,2019-12-17 00:05:00,2019-12-17 00:05:12
54,2019-12-17 00:05:00,2019-12-17 00:05:13
55,2019-12-17 00:05:00,2019-12-17 00:05:14
56,2019-12-17 00:05:00,2019-12-17 00:05:15
57,2019-12-17 00:05:00,2019-12-17 00:05:16
58,2019-12-17 00:05:00,2019-12-17 00:05:17
59,2019-12-17 00:05:00,2019-12-17 00:05:18
60,2019-12-17 00:05:00,2019-12-17 00:05:19
61,2019-12-17 00:05:00,2019-12-17 00:05:20
62,2019-12-17 00:05:00,2019-12-17 00:05:21
63,2019-12-17 00:05:00,2019-12-17 00:05:22
64,2019-12-17 00:05:00,2019-12-17 00:05:23
65,2019-12-17 00:05:00,2019-12-17 00:05:24
66,2019-12-17 00:05:00,2019-12-17 00:05:25
67,2019-12-17 00:05:00,2019-12-17 00:05:26
68,2019-12-17 00:05:00,2019-12-17 00:05:27
69,2019-12-17 00:05:00,2019-12-17 00:05:28
70,2019-12-17 00:05:00,2019-12-17 00:05:29
71,2019-12-17 00:05:00,2019-12-17 00:05:30
72,2019-12-17 00:05:00,2019-12-17 00:05:31
73,2019-12-17 00:05:00,2019-12-17 00:05:32
74,2019-12-17 00:05:00,2019-12-17 00:05:33
75,2019-12-17 00:05:00,2019-12-17 00:05:34
76,2019-12-17 00:05:00,2019-12-17 00:05:35
77,2019-12-17 00:05:00,2019-12-17 00:05:36
78,2019-12-17 00:05:00,2019-12-17 00:05:37
79,2019-12-17 00:05:00,2019-12-17 00:05:38
80,2019-12-17 00:05:00,2019-12-17 00:05:39
81,2019-12-17 00:05:00,2019-12-17 00:05:40
82,2019-12-17 00:05:00,2019-12-17 00:05:41
83,2019-12-17 00:05:00,2019-12-17 00:05:42
84,2019-12-17 00:05:00,2019-12-17 00:05:43
85,2019-12-17 00:05:00,2019-12-17 00:05:44
86,2019-12-17 00:05:00,2019-12-17 00:05:45
87,2019-12-17 00:05:00,2019-12-17 00:05:46
88,2019-12-17 00:05:00,2019-12-17 00:05:47
89,2019-12-17 00:05:00,2019-12-17 00:05:48
90,2019-12-17 00:05:00,2019-12-17 00:05:49
91,2019-12-17 00:05:09,2019-12-17 00:05:09
92,2019-12-17 00:05:10,2019-12-17 00:05:10
93,2019-12-17 00:05:15,2019-12-17 00:05:15
94,2019-12-17 00:05:29,2019-12-17 00:05:29
95,2019-12-17 00:05:30,2019-12-17 00:05:30
96,2019-12-17 00:05:32,2019-12-17 00:05:32
97,2019-12-17 00:05:33,2019-12-17 00:05:33
98,2019-12-17 00:05:44,2019-12-17 00:05:44
99,2019-12-17 00:05:54,2019-12-17 00:05:54
100,2019-12-17 00:06:00,2019-12-17 00:06:00
101,2019-12-17 00:06:13,2019-12-17 00:06:13
102,2019-12-17 00:06:27,2019-12-17 00:06:27
103,2019-12-17 00:06:31,2019-12-17 00:06:31
104,2019-12-17 00:06:36,2019-12-17 00:06:36
105,2019-12-17 00:07:08,2019-12-17 00:07:08
106,2019-12-17 00:07:11,2019-12-17 00:07:11
107,2019-12-17 00:07:16,2019-12-17 00:07:16
108,2019-12-17 00:07:16,2019-12-17 00:07:17
109,2019-12-17 00:07:18,2019-12-17 00:07:18
110,2019-12-17 00:07:22,2019-12-17 00:07:22
111,2019-12-17 00:07:27,2019-12-17 00:07:27
112,2019-12-17 00:07:39,2019-12-17 00:07:39
113,2019-12-17 00:07:41,2019-12-17 00:07:41
114,2019-12-17 00:07:45,2019-12-17 00:07:45
115,2019-12-17 00:07:48,2019-12-17 00:07:48
116,2019-12-17 00:07:50,2019-12-17 00:07:50
117,2019-12-17 00:08:11,2019-12-17 00:08:11
118,2019-12-17 00:08:13,2019-12-17 00:08:13
119,2019-12-17 00:08:30,2019-12-17 00:08:30
120,2019-12-17 00:09:00,2019-12-17 00:09:00
121,2019-12-17 00:09:16,2019-12-17 00:09:16
122,2019-12-17 00:09:26,2019-12-17 00:09:26
123,2019-12-17 00:09:35,2019-12-17 00:09:35
124,2019-12-17 00:09:41,2019-12-17 00:09:41
125,2019-12-17 00:09:45,2019-12-17 00:09:45
126,2019-12-17 00:09:55,2019-12-17 00:09:55
127,2019-12-17 00:10:07,2019-12-17 00:10:07
128,2019-12-17 00:10:07,2019-12-17 00:10:08
129,2019-12-17 00:10:28,2019-12-17 00:10:28
130,2019-12-17 00:10:29,2019-12-17 00:10:29
131,2019-12-17 00:10:31,2019-12-17 00:10:31
132,2019-12-17 00:10:47,2019-12-17 00:10:47
133,2019-12-17 00:10:50,2019-12-17 00:10:50
134,2019-12-17 00:10:53,2019-12-17 00:10:53
135,2019-12-17 00:10:58,2019-12-17 00:10:58
136,2019-12-17 00:11:04,2019-12-17 00:11:04
137,2019-12-17 00:11:13,2019-12-17 00:11:13
138,2019-12-17 00:11:19,2019-12-17 00:11:19
139,2019-12-17 00:11:21,2019-12-17 00:11:21
140,2019-12-17 00:11:23,2019-12-17 00:11:23
141,2019-12-17 00:11:48,2019-12-17 00:11:48
142,2019-12-17 00:11:56,2019-12-17 00:11:56
143,2019-12-17 00:12:01,2019-12-17 00:12:01
144,2019-12-17 00:12:03,2019-12-17 00:12:03
145,2019-12-17 00:12:09,2019-12-17 00:12:09
146,2019-12-17 00:12:26,2019-12-17 00:12:26
147,2019-12-17 00:12:42,2019-12-17 00:12:42
148,2019-12-17 00:12:43,2019-12-17 00:12:43
149,2019-12-17 00:13:14,2019-12-17 00:13:14
150,2019-12-17 00:13:16,2019-12-17 00:13:16
151,2019-12-17 00:13:42,2019-12-17 00:13:42
152,2019-12-17 00:13:44,2019-12-17 00:13:44
153,2019-12-17 00:13:53,2019-12-17 00:13:53
154,2019-12-17 00:13:55,2019-12-17 00:13:55
155,2019-12-17 00:13:56,2019-12-17 00:13:56
156,2019-12-17 00:14:00,2019-12-17 00:14:00
157,2019-12-17 00:14:06,2019-12-17 00:14:06
158,2019-12-17 00:14:08,2019-12-17 00:14:08
159,2019-12-17 00:14:13,2019-12-17 00:14:13
160,2019-12-17 00:14:20,2019-12-17 00:14:20
161,2019-12-17 00:14:26,2019-12-17 00:14:26
162,2019-12-17 00:14:32,2019-12-17 00:14:32
163,2019-12-17 00:14:44,2019-12-17 00:14:44
164,2019-12-17 00:14:51,2019-12-17 00:14:51
165,2019-12-17 00:14:56,2019-12-17 00:14:56
166,2019-12-17 00:14:58,2019-12-17 00:14:58
167,2019-12-17 00:15:34,2019-12-17 00:15:34
168,2019-12-17 00:15:57,2019-12-17 00:15:57
169,2019-12-17 00:16:09,2019-12-17 00:16:09
170,2019-12-17 00:16:29,2019-12-17 00:16:29
171,2019-12-17 00:16:33,2019-12-17 00:16:33
172,2019-12-17 00:16:35,2019-12-17 00:16:35
173,2019-12-17 00:17:03,2019-12-17 00:17:03
174,2019-12-17 00:17:07,2019-12-17 00:17:07
175,2019-12-17 00:17:08,2019-12-17 00:17:08
176,2019-12-17 00:17:31,2019-12-17 00:17:31
177,2019-12-17 00:17:34,2019-12-17 00:17:34
178,2019-12-17 00:17:34,2019-12-17 00:17:35
179,2019-12-17 00:17:36,2019-12-17 00:17:36
180,2019-12-17 00:18:08,2019-12-17 00:18:08
181,2019-12-17 00:18:10,2019-12-17 00:18:10
182,2019-12-17 00:18:11,2019-12-17 00:18:11
183,2019-12-17 00:18:19,2019-12-17 00:18:19
184,2019-12-17 00:18:19,2019-12-17 00:18:20
185,2019-12-17 00:18:22,2019-12-17 00:18:22
186,2019-12-17 00:18:33,2019-12-17 00:18:33
187,2019-12-17 00:18:37,2019-12-17 00:18:37
188,2019-12-17 00:18:39,2019-12-17 00:18:39
189,2019-12-17 00:18:52,2019-12-17 00:18:52
190,2019-12-17 00:18:52,2019-12-17 00:18:53
191,2019-12-17 00:18:59,2019-12-17 00:18:59
